feature,coefficient
logRelF0-H1-H2_sma3nz_stddevNorm_median,0.32240824643127175
mfcc3_sma3_amean_std,-0.3078338663896989
HNRdBACF_sma3nz_amean_std,0.30235700684702543
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope_min,0.2868799537120192
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2_max,-0.2818191373421828
slopeV500-1500_sma3nz_amean_min,-0.2521139998097992
F1frequency_sma3nz_stddevNorm_median,-0.23389635878490336
mfcc3V_sma3nz_stddevNorm_median,-0.22808488891226536
spectralFlux_sma3_stddevNorm_min,-0.21016931903711566
F0semitoneFrom27.5Hz_sma3nz_amean_max,-0.20840636263188717
mfcc4_sma3_stddevNorm_std,-0.1874862147097568
F1bandwidth_sma3nz_stddevNorm_max,-0.1860058083060472
F2amplitudeLogRelF0_sma3nz_stddevNorm_min,-0.17383104345737363
slopeUV0-500_sma3nz_amean_median,0.1395414463853591
